title,published,description,view_count,like_count,dislike_count,comment_count,owner
C# Object Initializers Tutorial,2017-11-08T18:55:21Z,"C# Object Initializers Tutorial

🔥Get the COMPLETE Course: http://bit.ly/2LhL39u

SUBSCRIBE FOR MORE VIDEOS!
https://www.youtube.com/channel/UCWv7vMbMWH4-V0ZXdmDpPBA?sub_confirmation=1

STAY IN TOUCH
https://www.facebook.com/programmingwithmosh/
https://twitter.com/moshhamedani",39032,485,0,15,mosh
C# Classes Tutorial | Mosh,2017-11-08T18:49:27Z,"Learn and understand classes in C#

🔥Get the COMPLETE Course: http://bit.ly/2LhL39u

SUBSCRIBE FOR MORE VIDEOS!
https://www.youtube.com/channel/UCWv7vMbMWH4-V0ZXdmDpPBA?sub_confirmation=1

STAY IN TOUCH
https://programmingwithmosh.com 
https://www.facebook.com/programmingwithmosh/
https://twitter.com/moshhamedani",193465,2568,0,107,mosh
Unit Testing C# Code - Tutorial for Beginners,2017-11-07T19:46:38Z,"Unit testing C# code - Tutorial for beginners 
🔥 Get the complete C# unit testing course: http://bit.ly/2GBELxZ

Source Code: http://bit.ly/2yczFVf

Subscribe for more videos
https://www.youtube.com/channel/UCWv7vMbMWH4-V0ZXdmDpPBA?sub_confirmation=1


00:00 What is Automated Testing
02:42 Benefits of Automated Testing
05:20 Types of Tests
09:22 Test Pyramid
12:18 The Tooling
15:13 Source Code
16:14 Writing Your First Unit Test
26:44 Testing All the Execution Paths
32:07 Refactoring With Confidence
34:24 Using NUnit in Visual Studio
38:25 What is Test-Driven Development
41:46 Course Structure
43:34 Summary


STAY IN TOUCH
https://programmingwithmosh.com 
https://www.facebook.com/programmingwithmosh
https://twitter.com/moshhamedani",421202,6056,0,196,mosh
[NEW COURSE] Unit Testing for C# Developers,2017-10-27T19:44:12Z,🔥 Get the COMPLETE Course: http://bit.ly/2GBELxZ,10351,92,0,19,mosh
Angular 4 in 40 Minutes,2017-09-28T19:30:01Z,"🔥Get the COMPLETE COURSE (60% OFF - LIMITED TIME): https://programmingwithmosh.com/courses/angular

SUBSCRIBE FOR MORE VIDEOS!
https://www.youtube.com/channel/UCWv7vMbMWH4-V0ZXdmDpPBA?sub_confirmation=1


00:00 Introduction
00:19 Building Blocks of Angular Apps
04:02 Creating Components
13:41 Creating Components Using Angular CLI
18:24 Templates
20:53 Directives
24:21 Services
28:52 Dependency Injection
36:13 Generating Services Using Angular CLI
38:25 Exercise",26564,430,0,17,mosh
Routing and Navigation in Angular | Mosh,2017-09-06T21:44:09Z,"🔥Get the COMPLETE COURSE (60% OFF - LIMITED TIME): https://programmingwithmosh.com/courses/angular

Learn how to build a SPA (Single Page Application) with Angular. 

This video is part of my COMPLETE Angular course with 30 hours of high-quality content, where you'll learn everything about Angular from the basic to the advanced topics. 


TABLE OF CONTENT

00:00 Introduction
00:30 Routing in a Nutshell
01:35 Configuring Routes
08:23 RouterOutlet
10:52 RouterLink
16:34 RouterLinkActive
18:27 Accessing Route Parameters


RELATED VIDEOS 

Angular 4 Tutorial for Beginners 
https://youtu.be/k5E2AVpwsko

Angular Version History
https://youtu.be/9AaRJ8COXdM

Angular Material
https://youtu.be/wPT3K3w6JtU

Angular Animations
https://youtu.be/ra5qNKNc95U


MY OTHER COURSES

I have several other courses on web and mobile application development. You can find them all here: 

http://programmingwithmosh.com/courses



STAY IN TOUCH

https://www.facebook.com/programmingwithmosh/

https://twitter.com/moshhamedani",239863,3329,0,95,mosh
Directives in Angular Applications,2017-09-06T21:32:25Z,"🔥Get the COMPLETE COURSE (60% OFF - LIMITED TIME): https://programmingwithmosh.com/courses/angular

Learn how to use directives to manipulate the DOM in your Angular apps.


TABLE OF CONTENT

00:00 Introduction
00:31 ngIf
06:43 Hidden Property
10:08 ngSwitchCase
16:45 ngFor
21:04 ngFor and Change Detection


RELATED VIDEOS

Angular 4 Tutorial for Beginners 
https://youtu.be/k5E2AVpwsko

Angular Version History
https://youtu.be/9AaRJ8COXdM

Angular Material
https://youtu.be/wPT3K3w6JtU

Angular Animations
https://youtu.be/ra5qNKNc95U


MY OTHER COURSES

I have several other courses on web and mobile application development. You can find them all here: 

http://programmingwithmosh.com/courses



STAY IN TOUCH

https://www.facebook.com/programmingwithmosh/

https://twitter.com/moshhamedani",130524,1929,0,61,mosh
Building Forms in Angular Apps | Mosh,2017-09-06T21:28:58Z,"🔥Get the COMPLETE COURSE (60% OFF - LIMITED TIME): https://programmingwithmosh.com/courses/angular

Learn to build forms with validation in your Angular apps. 


TABLE OF CONTENT 

00:00 Introduction
00:26 Building a Bootstrap Form
04:32 Types of Forms
07:54 ngModel
13:24 Adding Validation
16:43 Specific Validation Errors
21:03 Styling Invalid Input Fields
22:30 Cleaner Templates


RELATED VIDEOS

Angular 4 Tutorial for Beginners 
https://youtu.be/k5E2AVpwsko

Angular Version History
https://youtu.be/9AaRJ8COXdM

Angular Material
https://youtu.be/wPT3K3w6JtU

Angular Animations
https://youtu.be/ra5qNKNc95U


MY OTHER COURSES

I have several other courses on web and mobile application development. You can find them all here: 

http://programmingwithmosh.com/courses



STAY IN TOUCH

https://www.facebook.com/programmingwithmosh/

https://twitter.com/moshhamedani",351937,5075,0,203,mosh
Deploying Angular Applications | Mosh,2017-09-06T21:26:17Z,"🔥Get the COMPLETE COURSE (60% OFF - LIMITED TIME): https://programmingwithmosh.com/courses/angular

Learn to deploy your Angular apps. 


TABLE OF CONTENT 

00:00 Introduction
00:37 Preparing for Deployment
06:13 JIT vs AOT Compilation
11:43 Angular Compiler
15:17 Building Applications with Angular CLI
21:58 Environments


RELATED VIDEOS 

Angular 4 Tutorial for Beginners 
https://youtu.be/k5E2AVpwsko

Angular Version History
https://youtu.be/9AaRJ8COXdM

Angular Material
https://youtu.be/wPT3K3w6JtU

Angular Animations
https://youtu.be/ra5qNKNc95U



MY OTHER COURSES

I have several other courses on web and mobile application development. You can find them all here: 

http://programmingwithmosh.com/courses



STAY IN TOUCH

https://www.facebook.com/programmingwithmosh/

https://twitter.com/moshhamedani",104421,1599,0,51,mosh
Firebase in Angular Applications | Mosh,2017-09-06T21:21:38Z,"🔥Get the COMPLETE COURSE (60% OFF - LIMITED TIME): https://programmingwithmosh.com/courses/angular

This tutorial teaches you how to build real-time apps with Firebase and Angular. 


TABLE OF CONTENT 

00:00 Introduction
01:17 What is Firebase
03:37 Your First Firebase Project
04:19 Working with Firebase Databases
09:18 Installing Firebase
14:27 Reading Lists
21:44 A Real-time Database
23:17 Observables and Memory Leaks


RELATED VIDEOS 

Angular 4 Tutorial for Beginners 
https://youtu.be/k5E2AVpwsko

Angular Version History
https://youtu.be/9AaRJ8COXdM

Angular Material
https://youtu.be/wPT3K3w6JtU

Angular Animations
https://youtu.be/ra5qNKNc95U



MY OTHER COURSES

I have several other courses on web and mobile application development. You can find them all here: 

http://programmingwithmosh.com/courses


STAY IN TOUCH

https://www.facebook.com/programmingwithmosh/

https://twitter.com/moshhamedani",127014,2106,0,149,mosh
Angular Animations Tutorial | Mosh,2017-09-06T21:15:00Z,"🔥Get the COMPLETE COURSE (60% OFF - LIMITED TIME): https://programmingwithmosh.com/courses/angular

Learn how to use animations in your Angular apps. 


RELATED VIDEOS

Angular 4 Tutorial for Beginners 
https://youtu.be/k5E2AVpwsko

Angular Version History
https://youtu.be/9AaRJ8COXdM

Angular Material 2
https://youtu.be/wPT3K3w6JtU


MY OTHER COURSES

I have several other courses on web and mobile application development. You can find them all here: 

http://programmingwithmosh.com/courses


STAY IN TOUCH

https://www.facebook.com/programmingwithmosh/

https://twitter.com/moshhamedani",115273,2033,0,72,mosh
Angular Material Tutorial | Mosh,2017-09-06T21:08:27Z,"🔥Get the COMPLETE COURSE (60% OFF - LIMITED TIME): https://programmingwithmosh.com/courses/angular

Learn to use Angular Material Design to make your Angular applications look modern and beautiful. 


TABLE OF CONTENT 

00:00 Introduction
00:43 What is Angular Material
05:14 Installing Angular Material
12:45 Check Boxes
17:14 Radio Buttons
22:58 Selects
26:06 Inputs


RELATED VIDEOS 

Angular 4 Tutorial for Beginners 
https://youtu.be/k5E2AVpwsko

Angular Version History
https://youtu.be/9AaRJ8COXdM


MY OTHER COURSES

I have several other courses on web and mobile application development. You can find them all here: 

http://programmingwithmosh.com/courses



STAY IN TOUCH

https://www.facebook.com/programmingwithmosh/

https://twitter.com/moshhamedani",230984,3275,0,102,mosh
AngularJS vs Angular 2 vs Angular 4 | Mosh,2017-09-06T20:56:00Z,"🔥Get the COMPLETE COURSE (60% OFF - LIMITED TIME): https://programmingwithmosh.com/courses/angular

Confused about the difference between AngularJS, Angular 2 and 4? Watch this video and find out. 

RELATED VIDEOS 

Angular 4 Tutorial for Beginners 
https://youtu.be/k5E2AVpwsko

Angular Material 2
https://youtu.be/wPT3K3w6JtU


MY OTHER COURSES

I have several other courses on web and mobile application development. You can find them all here: 

http://programmingwithmosh.com/courses


STAY IN TOUCH

https://www.facebook.com/programmingwithmosh/
https://twitter.com/moshhamedani",75619,1421,0,47,mosh
Angular Tutorial for Beginners: Learn Angular & TypeScript,2017-09-05T16:48:15Z,"Angular tutorial for beginners: Learn Angular & TypeScript from scratch. 
🙏 Enjoyed this video? Please vote for me as the Top Programming Guru: https://bit.ly/2G7tf2s
🔥 Get my complete Angular course (60% OFF - LIMITED TIME): https://bit.ly/367j4nB

This Angular tutorial teaches you the fundamentals of Angular and TypeScript.

SUBSCRIBE FOR MORE VIDEOS!
https://www.youtube.com/channel/UCWv7vMbMWH4-V0ZXdmDpPBA?sub_confirmation=1


TABLE OF CONTENT 

00:00 Introduction
02:54 What is Angular?
04:54 Architecture of Angular Apps
08:41 Setting Up the Development Environment
11:25 Your First Angular App
13:50 Structure of Angular Projects
20:43 Webpack
23:57 Angular Version History 
27:31 Course Structure
31:55 TypeScript Fundamentals
32:34 What is TypeScript?
34:58 Your First TypeScript Program
37:57 Declaring Variables
42:46 Types
48:29 Type Assertions
51:15 Arrow Functions
52:59 Interfaces
56:54 Classes
01:01:22 Objects
01:05:31 Constructors
01:08:22 Access Modifiers
01:11:18 Access Modifiers in Constructor Parameters
01:12:58 Properties
01:18:15 Modules
01:23:22 Angular Fundamentals
01:23:41 Building Blocks of Angular Apps
01:27:22 Creating Components
01:37:00 Generating Components Using Angular CLI
01:41:40 Templates
01:44:08 Directives
01:47:34 Services
01:52:02 Dependency Injection
01:59:22 Generating Services Using Angular CLI
02:01:32 Exercise
 

STAY IN TOUCH

https://www.facebook.com/programmingwithmosh/
https://twitter.com/moshhamedani",3008264,45614,0,2009,mosh
TypeScript Properties,2017-09-04T21:30:03Z,"🔥Get the COMPLETE COURSE (60% OFF - LIMITED TIME): https://programmingwithmosh.com/courses/angular

Learn about TypeScript properties and how they are different from fields. 


RELATED VIDEOS

TypeScript for Angular / React Developers: 
https://youtu.be/NjN00cM18Z4

TypeScript Classes: 
https://youtu.be/W9Ah_ZDFc1c

TypeScript Constructors: 
https://youtu.be/tiWqCBXnWj0

TypeScript Interfaces: 
https://youtu.be/P17bFRuefjA

TypeScript Access Modifiers: 
https://youtu.be/QygRnETpBIg




I have several other courses on web and mobile application development. You can find them all here: 

http://programmingwithmosh.com/courses


STAY IN TOUCH

https://www.facebook.com/programmingwithmosh/
https://twitter.com/moshhamedani",7201,93,0,3,mosh
TypeScript Constructors,2017-09-04T21:30:01Z,"🔥Get the COMPLETE COURSE (60% OFF - LIMITED TIME): https://programmingwithmosh.com/courses/angular

Learn about constructors in TypeScript: what they are and why we use them. 


RELATED VIDEOS

TypeScript for Angular / React Developers: 
https://youtu.be/NjN00cM18Z4

TypeScript Classes: 
https://youtu.be/W9Ah_ZDFc1c

TypeScript Interfaces: 
https://youtu.be/P17bFRuefjA

TypeScript Properties: 
https://youtu.be/azCCiJJjKr4

TypeScript Access Modifiers: 
https://youtu.be/QygRnETpBIg



I have several other courses on web and mobile application development. You can find them all here: 

http://programmingwithmosh.com/courses


STAY IN TOUCH

https://www.facebook.com/programmingwithmosh/
https://twitter.com/moshhamedani",15599,205,0,7,mosh
TypeScript Interfaces,2017-09-04T21:30:00Z,"🔥Get the COMPLETE COURSE (60% OFF - LIMITED TIME): https://programmingwithmosh.com/courses/angular

Learn about TypeScript interfaces: what they are and when to use them. 



RELATED VIDEOS

TypeScript for Angular / React Developers: 
https://youtu.be/NjN00cM18Z4

TypeScript Classes: 
https://youtu.be/W9Ah_ZDFc1c

TypeScript Constructors: 
https://youtu.be/tiWqCBXnWj0

TypeScript Properties: 
https://youtu.be/azCCiJJjKr4

TypeScript Access Modifiers: 
https://youtu.be/QygRnETpBIg



I have several other courses on web and mobile application development. You can find them all here: 

http://programmingwithmosh.com/courses


STAY IN TOUCH

https://www.facebook.com/programmingwithmosh/
https://twitter.com/moshhamedani",20331,335,0,10,mosh
TypeScript Classes,2017-09-04T21:30:00Z,"🔥Get the COMPLETE COURSE (60% OFF - LIMITED TIME): https://programmingwithmosh.com/courses/angular

Learn about TypeScript classes: what they are and why we use them. 

RELATED VIDEOS

TypeScript for Angular / React Developers: 
https://youtu.be/NjN00cM18Z4

TypeScript Constructors: 
https://youtu.be/tiWqCBXnWj0

TypeScript Interfaces: 
https://youtu.be/P17bFRuefjA

TypeScript Properties: 
https://youtu.be/azCCiJJjKr4

TypeScript Access Modifiers:
https://youtu.be/QygRnETpBIg



I have several other courses on web and mobile application development. You can find them all here: 

http://programmingwithmosh.com/courses



STAY IN TOUCH

https://www.facebook.com/programmingwithmosh/
https://twitter.com/moshhamedani",8992,97,0,2,mosh
Access Modifiers in TypeScript,2017-09-04T19:30:00Z,"🔥Get the COMPLETE COURSE (60% OFF - LIMITED TIME): https://programmingwithmosh.com/courses/angular

Learn the difference between public and private and why we use them in TypeScript and other object-oriented programming languages. 


RELATED VIDEOS

TypeScript for Angular / React Developers: https://youtu.be/NjN00cM18Z4

TypeScript Classes: https://youtu.be/W9Ah_ZDFc1c

TypeScript Constructors: https://youtu.be/tiWqCBXnWj0

TypeScript Interfaces: https://youtu.be/P17bFRuefjA

TypeScript Properties: https://youtu.be/azCCiJJjKr4


I have several other courses on web and mobile application development. You can find them all here: 

http://programmingwithmosh.com/courses


STAY IN TOUCH

https://www.facebook.com/programmingwithmosh/
https://twitter.com/moshhamedani",14431,203,0,7,mosh
TypeScript Tutorial - TypeScript for React - Learn TypeScript [2020],2017-08-31T19:25:02Z,"TypeScript Tutorial - TypeScript for React & Angular Developers.
🚀Learn TypeScript for React and Angular apps. 
🔥Get the COMPLETE COURSE (60% OFF - LIMITED TIME): https://bit.ly/2WBl8kT

Want to learn more from me? 

Courses: https://codewithmosh.com
Twitter: https://twitter.com/moshhamedani
Facebook: https://www.facebook.com/programmingwithmosh/
Blog: http://programmingwithmosh.com

Learn all about classes, objects, interfaces, properties, constructors and other essential object-oriented programming concepts in TypeScript. 

TABLE OF CONTENT 

00:41 What is TypeScript?
03:04 Your First TypeScript Program
06:03 Declaring Variables
10:52 Types
16:35 Type Assertions
19:22 Arrow Functions
21:05 Interfaces
24:59 Classes
29:29 Objects
33:36 Constructors
36:27 Access Modifiers
39:23 Access Modifiers in Constructor Parameters
41:04 Properties
46:22 Modules

#javascript #react",482111,9303,0,359,mosh
My Brand New Angular Course,2017-08-31T00:18:03Z,"🔥Get the COMPLETE COURSE: http://bit.ly/2x2Hu3Q

A sneak peek of the e-commerce app we build in my brand new Angular course. 

STAY IN TOUCH

https://www.facebook.com/programmingwithmosh/
https://twitter.com/moshhamedani",18321,234,0,24,mosh
"Demo of An E-commerce App Built with Angular, Firebase and Bootstrap 4",2017-08-30T23:44:44Z,🔥Get the COMPLETE COURSE (60% OFF - LIMITED TIME): https://programmingwithmosh.com/courses/angular,92281,684,0,69,mosh
Udemy Live 2017: Teaching Tech Panel,2017-08-03T03:21:20Z,"Here is a preview of a few questions I got asked during the teaching tech panel at Udemy Live 2017. 

http://programmingwithmosh.com/",31263,628,0,89,mosh
Two-way Binding and ngModel in Angular 4,2017-06-15T23:30:28Z,"🔥Get the COMPLETE COURSE (60% OFF - LIMITED TIME): https://programmingwithmosh.com/courses/angular

Learn and understand two-way binding and ngModel in Angular 2+. 

STAY IN TOUCH

https://www.facebook.com/programmingwithmosh/
https://twitter.com/moshhamedani",78792,616,0,24,mosh
Entity Framework 6 Tutorial: Learn Entity Framework 6 from Scratch,2017-04-13T09:38:28Z,"Get the complete Entity Framework course: http://bit.ly/2rZAgrD

Entity Framework 6 Tutorial: learn how to store and query data using Entity Framework 6. 


Here you can find my other courses:

http://programmingwithmosh.com/courses

00:00 What is Entity Framework
02:07 Different Workflows 
04:46 Database-first Workflow in Action
15:06 Code-first Workflow in Action
24:14 Database-first or Code-first?",438445,4248,0,204,mosh
Build a Real-world App with ASP.NET Core and Angular 2,2017-03-19T03:21:40Z,"🔥 Get the COMPLETE Course (86% OFF - LIMITED TIME): http://bit.ly/2IBhJsD

Learn to build a real-world app with ASP.NET Core and Angular 2. If you're familiar with MVC5 and want to quickly learn about ASP.NET Core and Entity Framework Core in a quick and pragmatic way in the context of a real-world web app, this course is for you. 


00:00 Course Announcement
02:29 Introduction
04:13 Scope
09:43 Prerequisites
10:57 Application Requirements
13:17 Setting Up the Development Environment 
19:02 Setting Up SQL Server on macOS / Linux
28:28 Creating a New Project
32:39 Project Structure
37:33 Application Startup
44:35 Environments
49:30 .NET Watch 
52:20 Debugging in VSCode
54:31 Working with Git
55:37 Use Cases",162114,1221,0,137,mosh
Profile and optimize your Angular 2 apps,2017-02-13T09:18:16Z,"🔥Get the COMPLETE COURSE (60% OFF - LIMITED TIME): https://programmingwithmosh.com/courses/angular

Learn how to find and fix performance problems due to view rendering in Angular 2 apps. 

You can find all my courses here:

http://programmingwithmosh.com/courses


Stay in touch:

https://twitter.com/moshhamedani
https://www.facebook.com/programmingwithmosh",28134,429,0,17,mosh
Testing Angular 2+ Apps with Jasmine and Karma | Mosh,2017-02-02T09:17:55Z,"🔥Get the COMPLETE COURSE (60% OFF - LIMITED TIME): https://programmingwithmosh.com/courses/angular

A step-by-step and pragmatic introduction to unit testing Angular apps. 

01:11 Introduction to Automated Testing
08:38 Different Types of Tests
14:40 Fundamentals of Unit Testing with Jasmine 
22:24 Testing Strings and Arrays

This video is part of my Udemy course ""Testing Angular Apps"". You can get the complete course with a discount here:

You can find all my courses here:

http://programmingwithmosh.com/courses


Stay in touch:

https://twitter.com/moshhamedani
https://www.facebook.com/programmingwithmosh/",279364,3308,0,145,mosh
Using Redux in Angular 2+ Apps | Mosh,2017-01-24T05:15:19Z,"🔥Get the COMPLETE COURSE (60% OFF - LIMITED TIME): https://programmingwithmosh.com/courses/angular

Redux in Angular4 (Angular2+): Learn what Redux is, when to use and why, and how to implement it in an Angular 2+ app.


STAY IN TOUCH

https://twitter.com/moshhamedani
https://www.facebook.com/programmingwithmosh/",121818,1624,0,96,mosh
Value Types and Reference Types in JavaScript,2017-01-17T05:32:08Z,"🔥Get the COMPLETE COURSE (60% OFF - LIMITED TIME): https://programmingwithmosh.com/courses/angular

Are you confused about value types and reference types? This tutorial makes it super simple for you.

You can find all my courses here:

http://programmingwithmosh.com/courses",12182,452,0,25,mosh
Xamarin Forms Tutorial: Build Native Mobile Apps with C#,2016-12-21T23:48:15Z,"Learn the basics of building mobile apps with Xamarin Forms. 
🔥Get the complete Xamarin Forms course: http://bit.ly/2ITWcyL

Table of content:

00:00 What is Xamarin Forms
03:55 Setting Up the Development Environment
07:45 Creating an App Using Visual Studio 
14:34 Creating an App Using Xamarin Studio 
17:37 Your First Xamarin Forms App
24:57 How Xamarin Works
30:12 Course Layout
34:03 XAML vs Code
38:52 Content Property
42:26 Accessing Elements in Code-behind
47:23 Data Binding
52:06 Binding Context
56:07 Dealing with Device Differences
62:02 Property Element Syntax 
66:47 XAML Compilation 
70:58 Exercise 

Stay in touch:

https://www.facebook.com/programmingwithmosh/
https://twitter.com/moshhamedani",888431,9719,0,380,mosh
[Pluralsight]: Become a Full-stack .NET Developer,2016-06-13T11:38:09Z,"I have a partnership with Pluralsight. Using the following links, you can get a FREE 10-day trial or 15% discount on their annual subscription:

Part 1: Fundamentals
http://bit.ly/full-stack-1

Part 2: Advanced Topics
http://bit.ly/full-stack-2

Part 3: Architecture and Testing
http://bit.ly/full-stack-3

To check out my other courses:
http://programmingwithmosh.com/courses",122650,986,0,73,mosh
Step-by-step ASP.NET MVC Tutorial for Beginners | Mosh,2016-05-29T05:26:02Z,"🔥Get the complete ASP.NET MVC course: http://bit.ly/2OBKf0w

Want to learn ASP.NET MVC 5 from scratch in a fun, step-by-step and pragmatic way? Watch this tutorial and get started. 

Table of Content:

00:00 Introduction
02:48 ASP.NET MVC Architecture
05:31 Setting Up the Development Environment
07:38 Your First ASP.NET MVC 5 App
14:34 MVC in Action
21:18 Adding a Theme
26:49 Action Results
31:47 Action Parameters
37:42 Convention-based Routing
42:58 Attribute-based Routing
46:27 Passing Data to the Views
50:30 View Models
54:19 Razor Views
58:38 Partial Views

I have several other courses on C#, Entity Framework, Angular 2 and more. Check out my courses here:

http://programmingwithmosh.com/courses

Stay in touch:

https://www.facebook.com/programmingwithmosh/

https://twitter.com/moshhamedani",2997210,31655,0,1628,mosh
Difference between Junior and Senior Developers,2016-05-10T07:26:53Z,"This is the first episode of my late-hour Q&A shows. Post your questions below in the comments section, and if I find them valuable to others, I'll include them in my upcoming shows. 

http://programmingwithmosh.com/
https://facebook.com/programmingwithmosh/
http://twitter.com/moshhamedani",51051,1411,0,93,mosh
C# Tutorial For Beginners - Learn C# Basics in 1 Hour,2016-04-03T07:02:55Z,"C# tutorial for beginners: Get up & running with C# and code in just 1 hour! No prior knowledge needed. 
- Get my full C# course: http://bit.ly/2KJLPuS
- Subscribe for more C# tutorials like this: https://bit.ly/38ijYjn

⭐️Want to learn more from me? Check out these links: 

Courses: https://codewithmosh.com
Twitter: https://twitter.com/moshhamedani
Facebook: https://www.facebook.com/programmingwithmosh/
Blog: http://programmingwithmosh.com 

Watch this C# tutorial for beginners to learn the fundamentals of C# (pronounced C sharp) and .NET framework. If you're looking for a C# tutorial that teaches you C# programming from scratch, this tutorial is for you. C# is a popular programming language and everyday people use to build games, desktop, mobile, and web applications. 

00:00 Introduction
02:16 Difference between C# and .NET
03:07 CLR
05:21 Architecture of .NET Applications
07:52 Your First C# Program
18:45 Variables and Constants
27:24 Overflowing
29:34 Scope
30:33 Demo of Variables and Constants
42:40 Type Conversion
47:30 Demo of Type Conversion
57:43 Operators

Other C# tutorials on my channel:

Debugging C# Code in Visual Studio: https://youtu.be/u-HdLtqEOog

C# Generics: https://youtu.be/gyal6TbgmSU",3414437,51577,0,2091,mosh
Working with Components in Angular,2016-03-22T07:36:03Z,"🔥Get the COMPLETE COURSE (60% OFF - LIMITED TIME): https://programmingwithmosh.com/courses/angular

Learn to create and use Angular 2 components in TypeScript. 


RELATED VIDEOS: 

Angular 2 for Beginners
https://youtu.be/_-CD_5YhJTA

Architecture of Angular 2 Apps
https://youtu.be/CaspUXvVVG4


STAY IN TOUCH

https://www.facebook.com/programmingwithmosh/
https://twitter.com/moshhamedani",19094,75,0,6,mosh
Architecture of Angular 2+ Apps,2016-03-22T06:52:57Z,"🔥Get the COMPLETE COURSE (60% OFF - LIMITED TIME): https://programmingwithmosh.com/courses/angular

Learn the core building blocks of Angular 2 apps: components, directives, services, and routers. 

And here are some other Angular 2+ tutorials on my channels:

Angular 2 for Beginners
https://youtu.be/_-CD_5YhJTA

Stay in touch:

https://www.facebook.com/programmingwithmosh/
https://twitter.com/moshhamedani",22684,191,0,6,mosh
Angular 2 Tutorial for Beginners: Learn Angular 2 from Scratch | Mosh,2016-03-04T12:12:52Z,"🔥Get the COMPLETE COURSE (60% OFF - LIMITED TIME): https://programmingwithmosh.com/courses/angular

Angular 2, now Angular 4, is a very hot topic. This Angular 2 tutorial teaches you the fundamentals of Angular. 



SUBSCRIBE FOR MORE VIDEOS!
https://www.youtube.com/channel/UCWv7vMbMWH4-V0ZXdmDpPBA?sub_confirmation=1


HERE IS MY NEW ANGULAR 4 TUTORIAL:
https://youtu.be/k5E2AVpwsko


TABLE OF CONTENT: 

00:00 What is Angular and what you can do with it
03:31 Architecture of Angular 2 apps
08:23 Getting the tools 
09:40 Your first Angular 2 app
18:54 Angular 2.0 with TypeScript for Beginners (Udemy course)
19:50 Creating components
36:39 Dependency injection
42:25 Exercise
53:46 Discount coupon to get Angular 2 course on Udemy 


Seed project: http://bit.ly/1X0El6t


Stay in touch:

https://www.facebook.com/programmingwithmosh/
https://twitter.com/moshhamedani",1037548,9975,0,910,mosh
"Repository Pattern with C# and Entity Framework, Done Right | Mosh",2015-10-15T11:39:54Z,"🔥Get the COMPLETE Entity Framework course (80% OFF - LIMITED TIME): http://bit.ly/2rZAgrD
Want to learn more from me? Check out my these links:

Courses: https://codewithmosh.com
Blog: https://www.programmingwithmosh.com/
Facebook: https://www.facebook.com/programmingwithmosh
Twitter: https://twitter.com/moshhamedani

Confused about the repository pattern? This tutorial explains it all. 

There are many tutorials about the repository pattern and many of them are conflicting. If you've been confused about the proper way to implement the repository and unit of work patterns with Entity Framework, this video is for you. 

00:00 What is the Repository Pattern?
00:47 Benefits of the Repository Pattern
03:50 Repository in a Nutshell 
04:47 What is the Unit of Work Pattern?
05:00 Does Entity Framework Really Implement Repository and Unit of Work Patterns?
09:31 Clean Architecture
11:43 Implementing the Repository Pattern 
14:09 Implementing the Unit of Work Pattern
15:09 Repository and Unit of Work Patterns in Code
22:49 Example of Repository and Unit of Work Patterns 

Download the source code for this video here:
http://programmingwithmosh.com/wp-content/uploads/2015/10/RepositoryPattern.zip


And here are some YouTube videos of mine you might be interested in:

Event and Delegates in C#
https://youtu.be/jQgwEsJISy0?list=PLTjRvDozrdlz3_FPXwb6lX_HoGXa09Yef

Generics
https://youtu.be/gyal6TbgmSU?list=PLTjRvDozrdlz3_FPXwb6lX_HoGXa09Yef",759623,10771,0,864,mosh
Debugging C# Code in Visual Studio | Mosh,2015-09-16T09:16:21Z,"🔥Get the COMPLETE course (80% OFF - LIMITED TIME): http://bit.ly/2KJLPuS

Learn to use debugging tools in Visual Studio to effectively debug your C# applications.



EXERCISE FILES 

https://www.dropbox.com/s/qhgvi86vzvcvtyg/Debugging.zip?dl=0

TABLE OF CONTENT 

10:32 Writing Reliable Code
19:52 Defensive Programming
27:41 Call Stack Window
29:28 Locals and Autos Windows

MY OTHER C# TUTORIALS:

Events and Delegates
https://youtu.be/jQgwEsJISy0?list=PLTjRvDozrdlz3_FPXwb6lX_HoGXa09Yef

Generics
https://youtu.be/gyal6TbgmSU?list=PLTjRvDozrdlz3_FPXwb6lX_HoGXa09Yef



STAY IN TOUCH

Website: http://programmingwithmosh.com
Facebook: https://www.facebook.com/programmingwithmosh
Twitter: http://twitter.com/moshhamedani",235565,2394,0,54,mosh
C# Generics Tutorial: Whats and Whys | Mosh,2015-05-02T05:27:16Z,"🔥Get the COMPLETE course (75% OFF - LIMITED TIME): http://bit.ly/2s3qkxn

C# Generics Tutorial: learn why we need generics and how to use them. 


Check out my other C# video tutorials:

Events and Delegates
https://youtu.be/jQgwEsJISy0?list=PLTjRvDozrdlz3_FPXwb6lX_HoGXa09Yef

Debugging in Visual Studio
https://youtu.be/u-HdLtqEOog?list=PLTjRvDozrdlz3_FPXwb6lX_HoGXa09Yef



Stay in touch:

Website: http://programmingwithmosh.com
Facebook: https://www.facebook.com/programmingwithmosh
Twitter: http://twitter.com/moshhamedani",205198,2662,0,134,mosh
